dataset,row_key,case_id,pos,prefix_length,case_length,activity_current,y_true_na,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,n_sequence_correct,n_tabular_correct,n_llm_correct,sequence_correct_tabular_wrong,sequence_correct_llm_wrong,llm_correct_sequence_wrong,tabular_correct_sequence_wrong,pred_gemma-2-2b,pred_llama32-1b,pred_rnn,pred_saprpt,pred_tabpfn3,pred_transformer,activity_current_label,y_true_na_label,pred_gemma-2-2b_label,pred_llama32-1b_label,pred_rnn_label,pred_saprpt_label,pred_tabpfn3_label,pred_transformer_label
BPI12,193131::29,193131,29,30,32,24,6,True,False,False,False,True,False,0,1,1,False,False,True,True,6,4,24,24,6,25,W_Nabellen offertes,A_CANCELLED,A_CANCELLED,A_ACTIVATED,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED,W_Valideren aanvraag
BPI12,193201::6,193201,6,7,21,20,22,True,True,True,False,False,True,2,0,2,True,False,False,False,22,22,22,7,20,22,W_Afhandelen leads,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,A_DECLINED,W_Afhandelen leads,W_Completeren aanvraag
BPI12,193264::7,193264,7,8,25,22,20,True,True,True,False,False,True,2,0,2,True,False,False,False,20,20,20,22,22,20,W_Completeren aanvraag,W_Afhandelen leads,W_Afhandelen leads,W_Afhandelen leads,W_Afhandelen leads,W_Completeren aanvraag,W_Completeren aanvraag,W_Afhandelen leads
BPI12,193393::1,193393,1,2,22,9,10,False,False,False,True,False,False,0,1,0,False,False,False,True,20,7,20,10,20,20,A_PARTLYSUBMITTED,A_PREACCEPTED,W_Afhandelen leads,A_DECLINED,W_Afhandelen leads,A_PREACCEPTED,W_Afhandelen leads,W_Afhandelen leads
BPI12,193419::30,193419,30,31,56,25,23,False,False,True,False,False,True,2,0,0,True,True,False,False,25,25,23,25,25,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers
BPI12,193422::26,193422,26,27,27,14,2,False,False,False,False,True,False,0,1,0,False,False,False,True,6,4,24,17,2,24,O_CANCELLED,<EOS>,A_CANCELLED,A_ACTIVATED,W_Nabellen offertes,O_SELECTED,<EOS>,W_Nabellen offertes
BPI12,193449::34,193449,34,35,37,24,6,True,False,False,False,True,False,0,1,1,False,False,True,True,6,25,24,24,6,14,W_Nabellen offertes,A_CANCELLED,A_CANCELLED,W_Valideren aanvraag,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED,O_CANCELLED
BPI12,193476::31,193476,31,32,37,24,24,False,True,False,True,False,False,0,1,1,False,False,True,True,6,24,19,24,6,14,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,A_CANCELLED,O_CANCELLED
BPI12,193608::12,193608,12,13,36,24,22,False,True,True,False,False,False,1,0,1,True,False,False,False,24,22,22,24,24,14,W_Nabellen offertes,W_Completeren aanvraag,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,O_CANCELLED
BPI12,193608::16,193608,16,17,36,14,15,False,True,True,False,False,True,2,0,1,True,False,False,False,17,15,15,17,17,15,O_CANCELLED,O_CREATED,O_SELECTED,O_CREATED,O_CREATED,O_SELECTED,O_SELECTED,O_CREATED
BPI12,193608::23,193608,23,24,36,24,24,True,True,False,True,False,False,0,1,2,False,False,True,True,24,24,19,24,19,19,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,O_SENT_BACK,O_SENT_BACK
BPI12,193608::25,193608,25,26,36,24,24,True,True,False,True,True,False,0,2,2,False,False,True,True,24,24,19,24,24,19,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK
BPI12,193674::44,193674,44,45,66,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,25,25,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,193723::12,193723,12,13,27,24,22,True,True,True,False,False,False,1,0,2,True,False,False,False,22,22,22,24,24,24,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes
BPI12,193762::47,193762,47,48,74,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,2,2,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,<EOS>,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,193819::34,193819,34,35,113,25,24,False,False,True,False,False,True,2,0,0,True,True,False,False,23,25,24,2,23,24,W_Valideren aanvraag,W_Nabellen offertes,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen offertes,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen offertes
BPI12,194031::28,194031,28,29,42,25,23,False,False,True,False,True,True,2,1,0,False,True,False,False,25,25,23,25,23,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,194079::40,194079,40,41,50,25,23,False,False,True,False,True,True,2,1,0,False,True,False,False,24,2,23,25,23,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen offertes,<EOS>,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,194079::42,194079,42,43,50,25,23,False,False,True,False,True,True,2,1,0,False,True,False,False,2,25,23,25,23,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,194112::8,194112,8,9,63,20,22,True,True,True,False,False,True,2,0,2,True,False,False,False,22,22,22,20,20,22,W_Afhandelen leads,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Afhandelen leads,W_Afhandelen leads,W_Completeren aanvraag
BPI12,194136::22,194136,22,23,26,13,11,False,False,True,True,True,False,1,2,0,False,True,False,False,4,4,11,11,11,5,O_ACCEPTED,A_REGISTERED,A_ACTIVATED,A_ACTIVATED,A_REGISTERED,A_REGISTERED,A_REGISTERED,A_APPROVED
BPI12,194154::27,194154,27,28,38,23,23,False,False,True,True,True,False,1,2,0,False,True,False,False,25,2,23,23,23,25,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,194191::22,194191,22,23,31,24,24,True,False,False,True,True,False,0,2,1,False,False,True,True,24,22,19,24,24,19,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Completeren aanvraag,O_SENT_BACK,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK
BPI12,194206::33,194206,33,34,61,25,24,True,False,True,False,False,True,2,0,1,True,False,False,False,24,25,24,25,25,24,W_Valideren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Valideren aanvraag,W_Nabellen offertes,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen offertes
BPI12,194323::19,194323,19,20,47,24,22,True,True,True,False,False,False,1,0,2,True,False,False,False,22,22,22,24,24,19,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK
BPI12,194353::66,194353,66,67,97,23,23,False,False,False,True,True,False,0,2,0,False,False,False,True,25,2,25,23,23,25,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,194353::85,194353,85,86,97,25,23,False,False,True,False,False,True,2,0,0,True,True,False,False,2,25,23,25,25,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers
BPI12,194418::27,194418,27,28,55,24,24,True,False,False,True,True,False,0,2,1,False,False,True,True,24,14,6,24,24,6,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,O_CANCELLED,A_CANCELLED,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED
BPI12,194472::23,194472,23,24,41,25,23,False,False,False,False,True,False,0,1,0,False,False,False,True,25,4,25,25,23,25,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,A_ACTIVATED,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,194526::20,194526,20,21,42,24,19,False,False,True,False,False,True,2,0,0,True,True,False,False,24,24,19,24,24,19,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK
BPI12,194544::18,194544,18,19,34,22,24,True,True,True,False,False,True,2,0,2,True,False,False,False,24,24,24,22,22,24,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes
BPI12,194568::17,194568,17,18,24,24,25,False,False,True,False,True,True,2,1,0,False,True,False,False,24,2,25,24,25,25,W_Nabellen offertes,W_Valideren aanvraag,W_Nabellen offertes,<EOS>,W_Valideren aanvraag,W_Nabellen offertes,W_Valideren aanvraag,W_Valideren aanvraag
BPI12,194605::32,194605,32,33,46,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,25,25,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,194605::44,194605,44,45,46,13,25,True,False,True,False,False,True,2,0,1,True,False,False,False,25,4,25,11,11,25,O_ACCEPTED,W_Valideren aanvraag,W_Valideren aanvraag,A_ACTIVATED,W_Valideren aanvraag,A_REGISTERED,A_REGISTERED,W_Valideren aanvraag
BPI12,194677::14,194677,14,15,27,22,24,True,True,True,False,False,True,2,0,2,True,False,False,False,24,24,24,22,22,24,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes
BPI12,194677::9,194677,9,10,27,17,8,False,False,True,False,True,True,2,1,0,False,True,False,False,15,15,8,15,8,8,O_SELECTED,A_FINALIZED,O_CREATED,O_CREATED,A_FINALIZED,O_CREATED,A_FINALIZED,A_FINALIZED
BPI12,194719::30,194719,30,31,32,14,24,False,False,True,False,False,True,2,0,0,True,True,False,False,6,4,24,17,2,24,O_CANCELLED,W_Nabellen offertes,A_CANCELLED,A_ACTIVATED,W_Nabellen offertes,O_SELECTED,<EOS>,W_Nabellen offertes
BPI12,194719::8,194719,8,9,32,8,17,False,False,True,True,False,True,2,1,0,False,True,False,False,15,8,17,17,15,17,A_FINALIZED,O_SELECTED,O_CREATED,A_FINALIZED,O_SELECTED,O_SELECTED,O_CREATED,O_SELECTED
BPI12,194737::57,194737,57,58,64,25,23,False,False,True,True,False,True,2,1,0,False,True,False,False,25,2,23,23,25,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers
BPI12,194737::61,194737,61,62,64,4,5,False,False,False,False,False,True,1,0,0,True,True,False,False,25,4,11,25,11,5,A_ACTIVATED,A_APPROVED,W_Valideren aanvraag,A_ACTIVATED,A_REGISTERED,W_Valideren aanvraag,A_REGISTERED,A_APPROVED
BPI12,194785::36,194785,36,37,37,24,2,False,True,True,False,False,True,2,0,1,True,False,False,False,25,2,2,24,24,2,W_Nabellen offertes,<EOS>,W_Valideren aanvraag,<EOS>,<EOS>,W_Nabellen offertes,W_Nabellen offertes,<EOS>
BPI12,194791::35,194791,35,36,44,23,25,True,False,False,False,False,True,1,0,1,True,False,False,False,25,2,23,23,23,25,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,194791::36,194791,36,37,44,25,23,False,False,True,False,True,True,2,1,0,False,True,False,False,2,25,23,25,23,23,W_Valideren aanvraag,W_Nabellen incomplete dossiers,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,194907::24,194907,24,25,44,14,17,False,False,True,True,False,False,1,1,0,False,True,False,False,6,14,17,17,6,15,O_CANCELLED,O_SELECTED,A_CANCELLED,O_CANCELLED,O_SELECTED,O_SELECTED,A_CANCELLED,O_CREATED
BPI12,194988::5,194988,5,6,54,22,20,True,True,True,False,False,True,2,0,2,True,False,False,False,20,20,20,22,22,20,W_Completeren aanvraag,W_Afhandelen leads,W_Afhandelen leads,W_Afhandelen leads,W_Afhandelen leads,W_Completeren aanvraag,W_Completeren aanvraag,W_Afhandelen leads
BPI12,195012::36,195012,36,37,40,11,13,False,False,True,False,False,True,2,0,0,True,True,False,False,4,2,13,4,4,13,A_REGISTERED,O_ACCEPTED,A_ACTIVATED,<EOS>,O_ACCEPTED,A_ACTIVATED,A_ACTIVATED,O_ACCEPTED
BPI12,195036::34,195036,34,35,48,21,25,True,True,True,False,False,True,2,0,2,True,False,False,False,25,25,25,2,21,25,W_Beoordelen fraude,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>,W_Beoordelen fraude,W_Valideren aanvraag
BPI12,195036::38,195036,38,39,48,25,25,False,False,True,False,True,True,2,1,0,False,True,False,False,2,2,25,23,25,25,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag
BPI12,195042::14,195042,14,15,46,24,22,True,True,True,False,False,False,1,0,2,True,False,False,False,22,22,22,24,24,14,W_Nabellen offertes,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,O_CANCELLED
BPI12,195054::34,195054,34,35,64,23,23,True,False,False,True,True,False,0,2,1,False,False,True,True,23,25,25,23,23,25,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,195066::35,195066,35,36,41,23,23,False,False,True,True,True,False,1,2,0,False,True,False,False,25,2,23,23,23,25,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,195118::42,195118,42,43,43,23,2,True,True,True,False,False,True,2,0,2,True,False,False,False,2,2,2,23,23,2,W_Nabellen incomplete dossiers,<EOS>,<EOS>,<EOS>,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,<EOS>
BPI12,195127::49,195127,49,50,80,25,25,False,False,True,True,True,True,2,2,0,False,True,False,False,2,4,25,25,25,25,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>,A_ACTIVATED,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag
BPI12,195127::65,195127,65,66,80,25,25,False,False,True,False,True,True,2,1,0,False,True,False,False,2,2,25,23,25,25,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag
BPI12,195136::25,195136,25,26,29,24,24,False,False,True,True,True,False,1,2,0,False,True,False,False,25,25,24,24,24,25,W_Nabellen offertes,W_Nabellen offertes,W_Valideren aanvraag,W_Valideren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,W_Valideren aanvraag
BPI12,195142::10,195142,10,11,28,24,22,False,False,True,False,False,True,2,0,0,True,True,False,False,2,24,22,24,24,22,W_Nabellen offertes,W_Completeren aanvraag,<EOS>,W_Nabellen offertes,W_Completeren aanvraag,W_Nabellen offertes,W_Nabellen offertes,W_Completeren aanvraag
BPI12,195193::19,195193,19,20,45,24,19,False,False,True,False,False,True,2,0,0,True,True,False,False,24,24,19,24,25,19,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,W_Valideren aanvraag,O_SENT_BACK
BPI12,195193::26,195193,26,27,45,23,25,True,False,True,False,False,True,2,0,1,True,False,False,False,25,2,25,23,23,25,W_Nabellen incomplete dossiers,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>,W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Valideren aanvraag
BPI12,195193::41,195193,41,42,45,13,4,True,False,False,False,False,True,1,0,1,True,False,False,False,4,2,11,5,11,4,O_ACCEPTED,A_ACTIVATED,A_ACTIVATED,<EOS>,A_REGISTERED,A_APPROVED,A_REGISTERED,A_ACTIVATED
BPI12,195208::1,195208,1,2,14,9,10,False,False,False,True,False,False,0,1,0,False,False,False,True,20,7,20,10,20,20,A_PARTLYSUBMITTED,A_PREACCEPTED,W_Afhandelen leads,A_DECLINED,W_Afhandelen leads,A_PREACCEPTED,W_Afhandelen leads,W_Afhandelen leads
BPI12,195226::34,195226,34,35,36,11,25,False,False,True,False,False,True,2,0,0,True,True,False,False,4,4,25,4,4,25,A_REGISTERED,W_Valideren aanvraag,A_ACTIVATED,A_ACTIVATED,W_Valideren aanvraag,A_ACTIVATED,A_ACTIVATED,W_Valideren aanvraag
BPI12,195262::10,195262,10,11,30,17,8,True,False,True,False,False,True,2,0,1,True,False,False,False,8,15,8,15,15,8,O_SELECTED,A_FINALIZED,A_FINALIZED,O_CREATED,A_FINALIZED,O_CREATED,O_CREATED,A_FINALIZED
BPI12,195265::40,195265,40,41,51,23,23,False,False,True,True,True,True,2,2,0,False,True,False,False,2,2,23,23,23,23,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,<EOS>,<EOS>,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers,W_Nabellen incomplete dossiers
BPI12,195277::1,195277,1,2,41,9,20,True,False,False,False,False,True,1,0,1,True,False,False,False,20,7,7,10,7,20,A_PARTLYSUBMITTED,W_Afhandelen leads,W_Afhandelen leads,A_DECLINED,A_DECLINED,A_PREACCEPTED,A_DECLINED,W_Afhandelen leads
BPI12,195374::61,195374,61,62,62,25,2,True,False,False,False,False,True,1,0,1,True,False,False,False,2,4,25,25,25,2,W_Valideren aanvraag,<EOS>,<EOS>,A_ACTIVATED,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>
BPI12,195404::36,195404,36,37,38,14,24,True,False,False,False,False,True,1,0,1,True,False,False,False,24,15,2,17,6,24,O_CANCELLED,W_Nabellen offertes,W_Nabellen offertes,O_CREATED,<EOS>,O_SELECTED,A_CANCELLED,W_Nabellen offertes
BPI12,195422::49,195422,49,50,52,4,5,False,False,False,False,False,True,1,0,0,True,True,False,False,25,2,25,25,11,5,A_ACTIVATED,A_APPROVED,W_Valideren aanvraag,<EOS>,W_Valideren aanvraag,W_Valideren aanvraag,A_REGISTERED,A_APPROVED
BPI12,195422::51,195422,51,52,52,25,2,True,True,False,False,False,True,1,0,2,True,False,False,False,2,2,25,25,25,2,W_Valideren aanvraag,<EOS>,<EOS>,<EOS>,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,<EOS>
BPI12,195476::1,195476,1,2,34,9,10,False,False,False,True,True,False,0,2,0,False,False,False,True,20,7,7,10,10,20,A_PARTLYSUBMITTED,A_PREACCEPTED,W_Afhandelen leads,A_DECLINED,A_DECLINED,A_PREACCEPTED,A_PREACCEPTED,W_Afhandelen leads
BPI12,195491::21,195491,21,22,39,24,19,False,False,True,False,False,True,2,0,0,True,True,False,False,24,14,19,24,2,19,W_Nabellen offertes,O_SENT_BACK,W_Nabellen offertes,O_CANCELLED,O_SENT_BACK,W_Nabellen offertes,<EOS>,O_SENT_BACK
BPI12,195563::28,195563,28,29,31,16,7,False,False,False,False,False,True,1,0,0,True,True,False,False,25,4,25,25,25,7,O_DECLINED,A_DECLINED,W_Valideren aanvraag,A_ACTIVATED,W_Valideren aanvraag,W_Valideren aanvraag,W_Valideren aanvraag,A_DECLINED
BPI12,195597::24,195597,24,25,27,7,16,False,False,False,False,True,True,1,1,0,False,True,False,False,22,4,23,2,16,16,A_DECLINED,O_DECLINED,W_Completeren aanvraag,A_ACTIVATED,W_Nabellen incomplete dossiers,<EOS>,O_DECLINED,O_DECLINED
BPI12,195609::11,195609,11,12,32,3,8,False,False,True,False,False,False,1,0,0,True,True,False,False,17,17,8,17,17,17,A_ACCEPTED,A_FINALIZED,O_SELECTED,O_SELECTED,A_FINALIZED,O_SELECTED,O_SELECTED,O_SELECTED
BPI12,195642::32,195642,32,33,37,24,24,False,False,True,True,True,False,1,2,0,False,True,False,False,6,2,24,24,24,6,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED,<EOS>,W_Nabellen offertes,W_Nabellen offertes,W_Nabellen offertes,A_CANCELLED
BPI12,195666::39,195666,39,40,40,25,2,True,True,True,False,False,True,2,0,2,True,False,False,False,2,2,2,23,25,2,W_Valideren aanvraag,<EOS>,<EOS>,<EOS>,<EOS>,W_Nabellen incomplete dossiers,W_Valideren aanvraag,<EOS>
